codigo_pcd;id;nom_es;value;source;qualitative_value;notes;label_value
11905;3401;San Pedro;50.53;5;;1;50,53
11906;3402;Platanares;74.54;5;;1;74,54
11907;3403;Pejibaye;24.82;5;;1;24,82
11908;3404;Cajón;87.52;5;;1;87,52
11909;3406;Barú;15.02;5;;1;15,02
11910;3405;Río Nuevo;27.58;5;;1;27,58
11911;3407;Páramo;65.25;5;;1;65,25
20102;3415;San José;3696.21;5;;1;3 696,21
20103;3417;Carrizal;582.6;5;;1;582,6
20104;3418;San Antonio;3726.62;5;;1;3 726,62
20105;3419;Guácima;990.92;5;;1;990,92
20106;3420;San Isidro;675.82;5;;1;675,82
20107;3421;Sabanilla;328.16;5;;1;328,16
20108;3422;San Rafael;1831.91;5;;1;1 831,91
20109;3425;Río Segundo;2576.79;5;;1;2 576,79
20110;3424;Desamparados;2679.49;5;;1;2 679,49
20111;3423;Turrúcares;258.18;5;;1;258,18
20112;3426;Tambor;1088.26;5;;1;1 088,26
20113;3427;Garita;294.51;5;;1;294,51
20114;3428;Sarapiquí;54.56;5;;1;54,56
20201;3429;San Ramón;6874;5;;1;6 874
20202;3430;Santiago;97.94;5;;1;97,94
20203;3431;San Juan;2686.72;5;;1;2 686,72
20204;3432;Piedades Norte;207.44;5;;1;207,44
20205;3433;Piedades Sur;41.32;5;;1;41,32
20206;3436;San Rafael;368.7;5;;1;368,7
20207;3437;San Isidro;708.17;5;;1;708,17
20208;3434;Ángeles;30.43;5;;1;30,43
20209;3435;Alfaro;487.47;5;;1;487,47
20210;3438;Volio;137.62;5;;1;137,62
20211;3439;Concepción;285.45;5;;1;285,45
20212;3440;Zapotal;9.86;5;;1;9,86
20213;3441;Peņas Blancas;136.16;5;;1;136,16
20214;3442;San Lorenzo;15.04;5;;1;15,04
20301;3443;Grecia;2051.71;5;;1;2 051,71
20302;3446;San Isidro;621.74;5;;1;621,74
20303;3444;San José;859.9;5;;1;859,9
20304;3445;San Roque;832.06;5;;1;832,06
20305;3447;Tacares;420.51;5;;1;420,51
20307;3448;Puente de Piedra;599.3;5;;1;599,3
20308;3449;Bolivar;445.32;5;;1;445,32
20401;3450;San Mateo;47.21;5;;1;47,21
20402;3451;Desmonte;63.15;5;;1;63,15
20403;3452;Jesús María;87.94;5;;1;87,94
20404;3453;Labrador;75.16;5;;1;75,16
20501;3454;Atenas;799.87;5;;1;799,87
20502;3455;Jesús;265.75;5;;1;265,75
20503;3456;Mercedes;512.33;5;;1;512,33
20504;3457;San Isidro;256.49;5;;1;256,49
20505;3458;Concepción;204.34;5;;1;204,34
20506;3459;San José;283.91;5;;1;283,91
20507;3460;Santa Eulalia;235.12;5;;1;235,12
20508;3461;Escobal;58.53;5;;1;58,53
20601;3462;Naranjo;1129.31;5;;1;1 129,31
20602;3463;San Miguel;422.92;5;;1;422,92
20603;3464;San José;180.31;5;;1;180,31
20604;3465;Cirrí Sur;220.86;5;;1;220,86
20605;3466;San Jerónimo;505.81;5;;1;505,81
20606;3467;San Juan;510.18;5;;1;510,18
20607;3468;El Rosario;410.11;5;;1;410,11
20608;3469;Palmitos;497.97;5;;1;497,97
21301;3512;Upala;122.04;5;;1;122,04
21302;3513;Aguas Claras;17.74;5;;1;17,74
21303;3514;San José O Pizote;33.55;5;;1;33,55
21304;3515;Bijagua;39.43;5;;1;39,43
21305;3516;Delicias;80.41;5;;1;80,41
21306;3517;Dos Ríos;21.51;5;;1;21,51
21307;3518;Yolillal;37.68;5;;1;37,68
21308;3519;Canalete;57.55;5;;1;57,55
21401;3520;Los Chiles;57.13;5;;1;57,13
21402;3521;Caņo Negro;10.48;5;;1;10,48
21403;3522;El Amparo;28.15;5;;1;28,15
