codigo_pcd,nom_es,label_value
30110,Llano Grande,3639
30111,Quebradilla,4581
30201,Paraíso,15153
30202,Santiago,4821
30203,Orosi,8071
30204,Cachí,4706
30205,Llanos de Santa Lucía,14805
30206,Birrisito,1966
30301,Tres Ríos,9291
30302,San Diego,17935
30303,San Juan,10794
30304,San Rafael,11456
30305,Concepción,13719
30306,Dulce Nombre,6434
30307,San Ramón,4089
30308,Río Azul,10308
30401,Juan Viņas,4918
30402,Tucurrique,4552
30403,Pejibaye,3316
30404,La Victoria,1526
30501,Turrialba,25140
30502,La Suiza,6586
30503,Peralta,549
30504,Santa Cruz,3308
30505,Santa Teresita,4723
30506,Pavones,4270
30507,Tuis,2704
30508,Tayutic,2862
30509,Santa Rosa,4918
30510,Tres Equis,1772
30511,La Isabel,5998
30512,Chirripó,3634
30601,Pacayas,5001
30602,Cervantes,5131
30603,Capellades,2145
30701,San Rafael,23351
30702,Cot,7915
30703,Potrero Cerrado,2007
30704,Cipreses,3019
30705,Santa Rosa,2414
30801,El Tejar,20351
30802,San Isidro,8579
30803,Tobosi,5276
30804,Patio de Agua,427
40101,Heredia,19268
40201,Barva,4497
40202,San Pedro,5061
40203,San Pablo,6932
40303,San Miguel,6011
40304,Paracito,1945
40305,Santo Tomás,5983
40306,Santa Rosa,6732
40307,Tures,3065
40204,San Roque,3695
40205,Santa Lucía,6013
40206,San José de la Montaņa,4546
40207,Puente Salas,3306
40301,Santo Domingo,5141
40302,San Vicente,5894
40501,San Rafael,8793
50104,Nacascolo,1830
50105,Curubandé,2021
50201,Nicoya,21825
50202,Mansión,5057
50203,San Antonio,6541
50204,Quebrada Honda,2343
50205,Sámara,3250
50206,Nosara,4018
50207,Belén de Nosarita,2229
50301,Santa Cruz,19775
50302,Bolsón,1625
50303,Veintisiete de Abril,5722
50304,Tempate,4135
50305,Cartagena,3206
50306,Cuajiniquil,1510
50307,Diriá,3594
50308,Cabo Velas,2743
40502,San Josecito,10348
40503,Santiago,7081
40504,Ángeles,8575
40505,Concepción,4974
40601,San Isidro,5305
40602,San José,5927
40603,Concepción,2121
40604,San Francisco,3822
40701,San Antonio,9704
50309,Tamarindo,4880
50401,Bagaces,10638
50402,La Fortuna,2452
50403,Mogote,2981
50404,Río Naranjo,991
50501,Filadelfia,6786
50502,Palmira,4113
50503,Sardinal,12352
50504,Belén,7036
50601,Caņas,18815
50602,Palmira,1004
50603,San Miguel,1605
50604,Bebedero,2030
50605,Porozal,714
50701,Las Juntas,8783
50702,Sierra,2234
50703,San Juan,1494
50704,Colorado,4128
50801,Tilarán,7610
50802,Quebrada Grande,2507
50803,Tronadora,1707
50804,Santa Rosa,1751
50805,Líbano,882
50806,Tierras Morenas,1316
50807,Arenal,2207
50808,Cabeceras,2004
50901,Carmona,2180
40702,La Ribera,5653
50902,Santa Rita,1348
50903,Zapotal,1191
50904,San Pablo,1861
50905,Porvenir,838
50906,Bejuco,2686
51001,La Cruz,8067
51002,Santa Cecilia,5464
51003,La Garita,1698
51004,Santa Elena,1914
51101,Hojancha,3113
51102,Monte Romo,701
51103,Puerto Carrillo,1434
51104,Huacas,713
40703,La Asunción,5061
40801,San Joaquín,6536
40802,Barrantes,1587
51105,Matambú,858
40803,Llorente,7195
40901,San Pablo,16487
60101,Puntarenas,9168
60102,Pitahaya,1770
60103,Chomes,4984
60104,Lepanto,8967
60105,Paquera,6068
60106,Manzanillo,2657
60107,Guacimal,902
60108,Barranca,25424
60111,Cóbano,6688
60201,Espíritu Santo,15329
60202,San Juan Grande,3590
60203,Macacona,3402
60204,San Rafael,1181
60205,San Jerónimo,762
60206,Caldera,2384
60301,Buenos Aires,15811
60302,Volcán,4278
60303,Potrero Grande,5141
60304,Boruca,2719
60305,Pilas,1505
60306,Colinas,1257
60307,Chánguena,2327
60308,Biolley,2480
60309,Brunka,2694
60401,Miramar,7262
60402,La Unión,1328
60403,San Isidro,2961
60501,Puerto Cortés,6800
60502,Palmar,8782
60503,Sierpe,3056
60504,Bahía Ballena,2386
40902,Rincón de Sabanilla,7197
41001,Puerto Viejo,16650
41002,La Virgen,9205
41003,Las Horquetas,20818
41004,Llanuras del Gaspar,1021
41005,Cureņa,862
50101,Liberia,42431
50102,Caņas Dulces,2724
50103,Mayorga,1323
60112,Chacarita,17192
60113,Chira,1372
60114,Acapulco,1544
60115,El Roble,13421
60505,Piedras Blancas,3590
60506,Bahía Drake,1014
60601,Quepos,16626
60602,Savegre,3084
60603,Naranjito,3090
60701,Golfito,10529
60703,Guaycará,11278
60704,Pavón,5544
60801,San Vito,12564
60802,Sabalito,11189
60803,Aguabuena,6093
60804,Limoncito,3498
60805,Pittier,2863
60806,Gutiérrez Braun,2504
60901,Parrita,13291
61001,Corredor,16540
61002,La Cuesta,3794
61003,Canoas,10126
61004,Laurel,8776
61101,Jacó,8795
61102,Tárcoles,3509
61103,Lagunillas,1302
61201,Monteverde,3604
61301,Puerto Jiménez,7303
70101,Limón,55692
70102,Valle La Estrella,15103
70103,Río Blanco,7018
70104,Matama,6302
70201,Guápiles,25656
70202,Jiménez,8253
70203,Rita,21249
70204,Roxana,14600
70205,Cariari,28838
70206,Colorado,3447
70207,La Colonia,4365
70301,Siquirres,23843
70302,Pacuarito,7986
70303,Florida,2108
70304,Germania,2376
70305,El Cairo,5013
70306,Alegría,4695
70307,Reventazón,5226
70401,Bratsi,5801
70402,Sixaola,8714
70403,Cahuita,7445
70404,Telire,4868
70501,Matina,8318
70502,Batán,14431
70503,Carrandí,10536
70601,Guácimo,16220
70602,Mercedes,1847
70603,Pocora,5985
70604,Río Jiménez,7830
70605,Duacarí,5484
