codigo_pcd,nom_es,label_value
21503,Cote,11.9
21504,Katira,62.72
21601,Río Cuarto,72.32
21602,Santa Rita,135.34
21603,Santa Isabel,51.8
30101,Oriental,5658.46
40102,Mercedes,7393.58
40103,San Francisco,9367.99
40104,Ulloa,3201.59
40105,Varablanca,58.91
40308,Pará,1489.05
40401,Santa Bárbara,4832.45
40402,San Pedro,2842.85
40403,San Juan,2222.63
40404,Jesús,1106.6
40405,Santo Domingo,225.77
40406,Purabá,950.85
60116,Arancibia,22.09
30102,Occidental,5111.01
30103,Carmen,4416.29
30104,San Nicolás,1261.34
30105,Aguacaliente o San Francisco,944.53
30106,Guadalupe o Arenilla,1501.68
30107,Corralillo,361.47
30108,Tierra Blanca,570.96
30109,Dulce Nombre,489.56
30110,Llano Grande,210.72
30111,Quebradilla,338.01
30201,Paraíso,987.29
30202,Santiago,247.48
30203,Orosi,28.45
30204,Cachí,139.69
30205,Llanos de Santa Lucía,2939.83
30206,Birrisito,263.19
30301,Tres Ríos,3836.78
30302,San Diego,6939.06
30303,San Juan,3990.95
30304,San Rafael,2143.02
30305,Concepción,5135.29
30306,Dulce Nombre,1900.12
30307,San Ramón,1331.03
30308,Río Azul,9816.86
30401,Juan Viņas,181.44
30402,Tucurrique,163.38
30403,Pejibaye,29.87
30404,La Victoria,104.95
30501,Turrialba,437.77
30502,La Suiza,93.1
30503,Peralta,62.67
30504,Santa Cruz,61.75
30505,Santa Teresita,95.98
30506,Pavones,104.05
30507,Tuis,71.81
30508,Tayutic,34.55
30509,Santa Rosa,297.76
30510,Tres Equis,51.27
30511,La Isabel,296.67
30512,Chirripó,9.57
30601,Pacayas,219.16
30602,Cervantes,448.35
30603,Capellades,99.33
30701,San Rafael,2684.21
30702,Cot,765.08
30703,Potrero Cerrado,172.17
30704,Cipreses,448.45
30705,Santa Rosa,191.37
30801,El Tejar,4197.5
30802,San Isidro,318.56
30803,Tobosi,389.12
30804,Patio de Agua,41.77
40101,Heredia,6208.25
40201,Barva,5711.18
40202,San Pedro,3046.61
40203,San Pablo,1524.54
40303,San Miguel,1371.72
40304,Paracito,2297.17
40305,Santo Tomás,2280.66
40306,Santa Rosa,2202.88
40307,Tures,1166.92
40204,San Roque,4409.89
40205,Santa Lucía,3047.65
40206,San José de la Montaņa,285.48
40207,Puente Salas,1046.07
40301,Santo Domingo,6095.48
40302,San Vicente,2838.88
40501,San Rafael,7713.11
50104,Nacascolo,11.56
50105,Curubandé,45.39
50201,Nicoya,89.27
50202,Mansión,27.33
50203,San Antonio,24.01
50204,Quebrada Honda,25.8
50205,Sámara,48.0
50206,Nosara,65.03
50207,Belén de Nosarita,25.72
50301,Santa Cruz,119.75
50302,Bolsón,76.18
50303,Veintisiete de Abril,32.98
50304,Tempate,49.26
50305,Cartagena,74.47
50306,Cuajiniquil,13.74
50307,Diriá,77.12
50308,Cabo Velas,71.87
40502,San Josecito,10818.02
40503,Santiago,6830.33
40504,Ángeles,762.79
40505,Concepción,442.81
40601,San Isidro,2282.59
40602,San José,857.42
40603,Concepción,512.31
40604,San Francisco,1171.68
40701,San Antonio,3107.18
50309,Tamarindo,70.29
50401,Bagaces,26.55
50402,La Fortuna,24.07
50403,Mogote,22.73
50404,Río Naranjo,50.27
50501,Filadelfia,77.99
50502,Palmira,240.47
50503,Sardinal,84.29
50504,Belén,71.05
50601,Caņas,135.66
50602,Palmira,7.63
50603,San Miguel,16.87
50604,Bebedero,43.29
50605,Porozal,7.87
50701,Las Juntas,44.86
50702,Sierra,41.81
50703,San Juan,17.7
50704,Colorado,25.77
50801,Tilarán,64.08
50802,Quebrada Grande,90.16
50803,Tronadora,23.74
50804,Santa Rosa,31.11
50805,Líbano,13.38
50806,Tierras Morenas,27.04
