codigo_pcd,nom_es,label_value
30109,Dulce Nombre,11862
30110,Llano Grande,5144
30111,Quebradilla,5887
30201,Paraíso,18058
30202,Santiago,6345
30203,Orosi,9945
30204,Cachí,5743
30205,Llanos de Santa Lucía,19226
30206,Birrisito,2337
30301,Tres Ríos,8748
30302,San Diego,25469
30303,San Juan,15764
30304,San Rafael,16201
30305,Concepción,19463
30306,Dulce Nombre,9356
30307,San Ramón,4606
30308,Río Azul,15157
30401,Juan Viņas,5126
30402,Tucurrique,5473
30403,Pejibaye,3534
30404,La Victoria,1587
30501,Turrialba,24791
30502,La Suiza,7373
30503,Peralta,607
30504,Santa Cruz,3753
30505,Santa Teresita,5210
30506,Pavones,4375
30507,Tuis,2715
30508,Tayutic,2280
30509,Santa Rosa,5544
30510,Tres Equis,1892
30511,La Isabel,5871
30512,Chirripó,3954
30601,Pacayas,5705
30602,Cervantes,6806
30603,Capellades,2700
30701,San Rafael,27594
30702,Cot,11369
30703,Potrero Cerrado,2714
30704,Cipreses,4202
30705,Santa Rosa,3026
30801,El Tejar,25689
30802,San Isidro,11424
30803,Tobosi,7806
30804,Patio de Agua,457
40101,Heredia,17756
40201,Barva,4797
40202,San Pedro,7525
40203,San Pablo,10413
40303,San Miguel,8093
40304,Paracito,2917
40305,Santo Tomás,8074
40306,Santa Rosa,9406
40307,Tures,4528
40204,San Roque,5645
40205,Santa Lucía,8716
40206,San José de la Montaņa,7203
40207,Puente Salas,4917
40301,Santo Domingo,4754
40302,San Vicente,8176
40501,San Rafael,10258
50104,Nacascolo,3340
50105,Curubandé,3392
50201,Nicoya,27459
50202,Mansión,5466
50203,San Antonio,7064
50204,Quebrada Honda,2471
50205,Sámara,5179
50206,Nosara,8437
50207,Belén de Nosarita,3165
50301,Santa Cruz,28133
50302,Bolsón,2258
50303,Veintisiete de Abril,9887
50304,Tempate,6881
50305,Cartagena,5429
50306,Cuajiniquil,2980
50307,Diriá,5107
50308,Cabo Velas,4774
40502,San Josecito,14604
40503,Santiago,10724
40504,Ángeles,13429
40505,Concepción,8119
40601,San Isidro,6095
40602,San José,9017
40603,Concepción,3138
40604,San Francisco,5343
40701,San Antonio,11062
50309,Tamarindo,8609
50401,Bagaces,17662
50402,La Fortuna,3009
50403,Mogote,3973
50404,Río Naranjo,1200
50501,Filadelfia,8601
50502,Palmira,7403
50503,Sardinal,21853
50504,Belén,12642
50601,Caņas,26194
50602,Palmira,1370
50603,San Miguel,2028
50604,Bebedero,2513
50605,Porozal,782
50701,Las Juntas,10258
50702,Sierra,2868
50703,San Juan,1898
50704,Colorado,5098
50801,Tilarán,9275
50802,Quebrada Grande,3106
50803,Tronadora,2029
50804,Santa Rosa,2211
50805,Líbano,965
50806,Tierras Morenas,1580
50807,Arenal,2683
50808,Cabeceras,3049
50901,Carmona,2733
40702,La Ribera,7959
50902,Santa Rita,1411
50903,Zapotal,1206
50904,San Pablo,2240
50905,Porvenir,732
50906,Bejuco,3125
51001,La Cruz,13293
51002,Santa Cecilia,9224
51003,La Garita,2737
51004,Santa Elena,3106
51101,Hojancha,2967
51102,Monte Romo,709
51103,Puerto Carrillo,1936
51104,Huacas,754
40703,La Asunción,7585
40801,San Joaquín,7852
40802,Barrantes,2437
51105,Matambú,817
40803,Llorente,12001
40901,San Pablo,20240
60101,Puntarenas,10613
60102,Pitahaya,2785
60103,Chomes,6947
60104,Lepanto,10280
60105,Paquera,8637
60106,Manzanillo,3501
60107,Guacimal,1209
60108,Barranca,42444
60111,Cóbano,10135
60201,Espíritu Santo,20425
60202,San Juan Grande,4029
60203,Macacona,5771
60204,San Rafael,1812
60205,San Jerónimo,1000
60206,Caldera,2789
60301,Buenos Aires,32980
60302,Volcán,3195
60303,Potrero Grande,5852
60304,Boruca,3009
60305,Pilas,1559
60306,Colinas,1227
60307,Chánguena,2633
60308,Biolley,2275
60309,Brunka,2742
60401,Miramar,9170
60402,La Unión,1561
60403,San Isidro,4298
